## Data taken from:
## Davidson & Andrewartha (1948)
## "Annual trends in a natural population of Thrips imaginis (Thysanoptera)"
## Journal of Animal Ecology, 17:193-199.
## This is GPDD dataset 3348.
## (NERC Centre for Population Biology, Imperial College (2010) 
## The Global Population Dynamics Database, Version 2. 
## http://www.sw.ic.ac.uk/cpb/cpb/gpdd.htm
## Units of population are average number of thrips per day per rose.
"Sample Date",Population
1932.04,4.5
1932.05,23.4
1932.06,17.8
1932.07,4.4
1932.08,3.3
1932.09,34
1932.1,13.8
1932.11,133.7
1932.12,267.4
1933.01,37.8
1933.02,9.8
1933.03,2.8
1933.04,2.4
1933.05,3.9
1933.06,5.3
1933.07,5.5
1933.08,1.7
1933.09,2.8
1933.1,10.1
1933.11,78.3
1933.12,71.3
1934.01,15.5
1934.02,5.1
1934.03,7.3
1934.04,6.1
1934.05,14.4
1934.06,26.9
1934.07,6.7
1934.08,3.7
1934.09,5.9
1934.1,1.6
1934.11,36
1934.12,76.3
1935.01,14.5
1935.02,7.8
1935.03,3.7
1935.04,2.6
1935.05,6.2
1935.06,16.5
1935.07,0.8
1935.08,1.7
1935.09,5.5
1935.1,21.9
1935.11,133.5
1935.12,136.6
1936.01,15.9
1936.02,5.7
1936.03,6.3
1936.04,3.3
1936.05,8.1
1936.06,12.9
1936.07,9.1
1936.08,1.8
1936.09,4.3
1936.1,11.2
1936.11,41.1
1936.12,69
1937.01,5.9
1937.02,2.9
1937.03,3.7
1937.04,2
1937.05,3
1937.06,4.8
1937.07,2.5
1937.08,1.7
1937.09,4.6
1937.1,24.4
1937.11,310.4
1937.12,127.4
1938.01,15.6
1938.02,6.2
1938.03,4
1938.04,3.5
1938.05,11.6
1938.06,5.6
1938.07,7.9
1938.08,5.4
1938.09,50.7
1938.1,157.8
1938.11,574.6
1938.12,137.6
